rank,exact_url,topic_intent,referring_domains,dofollow_referring_domains,total_backlinks,dofollow_backlinks,ur,organic_traffic,export_http_status,live_http,section,exact_slug_preservation,live_replacement,canonical_indexability,priority_reason
11,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-colorado/,Colorado portable restroom trailer rental,2,Unavailable,13,13,4.4,Unavailable,301,404 on production; 308 to 200 on preview,Location,No,https://temp123-nine.vercel.app/equipment-rental/restroom-trailers/,Production 404 has no canonical and noindex; preview destination has no canonical and noindex follow,Two referring domains and fully dofollow backlink count; exact Colorado intent is not retained
12,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-connecticut/,Connecticut portable restroom trailer rental,2,Unavailable,13,13,4.4,Unavailable,301,404 on production; 308 to 200 on preview,Location,No,https://temp123-nine.vercel.app/equipment-rental/restroom-trailers/,Production 404 has no canonical and noindex; preview destination has no canonical and noindex follow,Two referring domains and fully dofollow backlink count; exact Connecticut intent is not retained
13,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-delaware/,Delaware portable restroom trailer rental,2,Unavailable,13,13,4.4,Unavailable,301,404 on production; 308 to 200 on preview,Location,No,https://temp123-nine.vercel.app/equipment-rental/restroom-trailers/,Production 404 has no canonical and noindex; preview destination has no canonical and noindex follow,Two referring domains and fully dofollow backlink count; exact Delaware intent is not retained
14,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-district-of-columbia/,District of Columbia portable restroom trailer rental,2,Unavailable,13,13,4.4,Unavailable,301,404 on production; 308 to 200 on preview,Location,No,https://temp123-nine.vercel.app/equipment-rental/restroom-trailers/,Production 404 has no canonical and noindex; preview destination has no canonical and noindex follow,Two referring domains and fully dofollow backlink count; exact District of Columbia intent is not retained
15,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-florida/,Florida portable restroom trailer rental,2,Unavailable,13,13,4.4,Unavailable,403,404 on production; 308 to 200 on preview,Location,No,https://temp123-nine.vercel.app/equipment-rental/restroom-trailers/,Production 404 has no canonical and noindex; preview destination has no canonical and noindex follow,Two referring domains and fully dofollow backlink count; exact Florida intent is not retained
16,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-georgia/,Georgia portable restroom trailer rental,2,Unavailable,13,13,4.4,Unavailable,403,404 on production; 308 to 200 on preview,Location,No,https://temp123-nine.vercel.app/equipment-rental/restroom-trailers/,Production 404 has no canonical and noindex; preview destination has no canonical and noindex follow,Two referring domains and fully dofollow backlink count; exact Georgia intent is not retained
17,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-hawaii/,Hawaii portable restroom trailer rental,2,Unavailable,13,13,4.4,Unavailable,301,404 on production; 308 to 200 on preview,Location,No,https://temp123-nine.vercel.app/equipment-rental/restroom-trailers/,Production 404 has no canonical and noindex; preview destination has no canonical and noindex follow,Two referring domains and fully dofollow backlink count; exact Hawaii intent is not retained
18,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-idaho/,Idaho portable restroom trailer rental,2,Unavailable,13,13,4.4,Unavailable,301,404 on production; 308 to 200 on preview,Location,No,https://temp123-nine.vercel.app/equipment-rental/restroom-trailers/,Production 404 has no canonical and noindex; preview destination has no canonical and noindex follow,Two referring domains and fully dofollow backlink count; exact Idaho intent is not retained
19,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-illinois/,Illinois portable restroom trailer rental,2,Unavailable,13,13,4.4,Unavailable,403,404 on production; 308 to 200 on preview,Location,No,https://temp123-nine.vercel.app/equipment-rental/restroom-trailers/,Production 404 has no canonical and noindex; preview destination has no canonical and noindex follow,Two referring domains and fully dofollow backlink count; exact Illinois intent is not retained
20,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-indiana/,Indiana portable restroom trailer rental,2,Unavailable,13,13,4.4,Unavailable,301,404 on production; 308 to 200 on preview,Location,No,https://temp123-nine.vercel.app/equipment-rental/restroom-trailers/,Production 404 has no canonical and noindex; preview destination has no canonical and noindex follow,Two referring domains and fully dofollow backlink count; exact Indiana intent is not retained
21,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-iowa/,Iowa portable restroom trailer rental,2,Unavailable,13,13,4.4,Unavailable,301,404 on production; 308 to 200 on preview,Location,No,https://temp123-nine.vercel.app/equipment-rental/restroom-trailers/,Production 404 has no canonical and noindex; preview destination has no canonical and noindex follow,Two referring domains and fully dofollow backlink count; exact Iowa intent is not retained
22,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-kansas/,Kansas portable restroom trailer rental,2,Unavailable,13,13,4.4,Unavailable,301,404 on production; 308 to 200 on preview,Location,No,https://temp123-nine.vercel.app/equipment-rental/restroom-trailers/,Production 404 has no canonical and noindex; preview destination has no canonical and noindex follow,Two referring domains and fully dofollow backlink count; exact Kansas intent is not retained
23,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-kentucky/,Kentucky portable restroom trailer rental,2,Unavailable,13,13,4.4,Unavailable,403,404 on production; 308 to 200 on preview,Location,No,https://temp123-nine.vercel.app/equipment-rental/restroom-trailers/,Production 404 has no canonical and noindex; preview destination has no canonical and noindex follow,Two referring domains and fully dofollow backlink count; exact Kentucky intent is not retained
24,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-louisiana/,Louisiana portable restroom trailer rental,2,Unavailable,13,13,4.4,Unavailable,301,404 on production; 308 to 200 on preview,Location,No,https://temp123-nine.vercel.app/equipment-rental/restroom-trailers/,Production 404 has no canonical and noindex; preview destination has no canonical and noindex follow,Two referring domains and fully dofollow backlink count; exact Louisiana intent is not retained
25,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-maine/,Maine portable restroom trailer rental,2,Unavailable,13,13,4.4,Unavailable,301,404 on production; 308 to 200 on preview,Location,No,https://temp123-nine.vercel.app/equipment-rental/restroom-trailers/,Production 404 has no canonical and noindex; preview destination has no canonical and noindex follow,Two referring domains and fully dofollow backlink count; exact Maine intent is not retained
